,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.962178517397882,570,0,25,66,1.0,0.7252747252747253,0.840764331210191
1,1,0.9591527987897126,570,0,27,64,1.0,0.7032967032967034,0.8258064516129032
2,2,0.9591527987897126,570,0,27,64,1.0,0.7032967032967034,0.8258064516129032
3,3,0.962178517397882,570,0,25,66,1.0,0.7252747252747253,0.840764331210191
4,4,0.962178517397882,570,0,25,66,1.0,0.7252747252747253,0.840764331210191
5,5,0.962178517397882,570,0,25,66,1.0,0.7252747252747253,0.840764331210191
6,6,0.962178517397882,570,0,25,66,1.0,0.7252747252747253,0.840764331210191
7,7,0.962178517397882,570,0,25,66,1.0,0.7252747252747253,0.840764331210191
8,8,0.9591527987897126,570,0,27,64,1.0,0.7032967032967034,0.8258064516129032
9,9,0.9546142208774584,567,3,27,64,0.9552238805970149,0.7032967032967034,0.8101265822784811
10,ensemble_avg,0.962178517397882,570,0,25,66,1.0,0.7252747252747253,0.840764331210191
11,ensemble_or,0.9576399394856279,567,3,25,66,0.9565217391304348,0.7252747252747253,0.8250000000000001
12,ensemble_uniq_avg,0.962178517397882,570,0,25,66,1.0,0.7252747252747253,0.840764331210191
13,ensemble_uniq_or,0.9576399394856279,567,3,25,66,0.9565217391304348,0.7252747252747253,0.8250000000000001
