,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.9576642335766423,640,0,29,16,1.0,0.35555555555555557,0.5245901639344263
1,1,0.9562043795620438,640,0,30,15,1.0,0.3333333333333333,0.5
2,2,0.9576642335766423,640,0,29,16,1.0,0.35555555555555557,0.5245901639344263
3,3,0.9576642335766423,640,0,29,16,1.0,0.35555555555555557,0.5245901639344263
4,4,0.9562043795620438,640,0,30,15,1.0,0.3333333333333333,0.5
5,5,0.9562043795620438,640,0,30,15,1.0,0.3333333333333333,0.5
6,6,0.9562043795620438,640,0,30,15,1.0,0.3333333333333333,0.5
7,7,0.9562043795620438,640,0,30,15,1.0,0.3333333333333333,0.5
8,8,0.9547445255474453,640,0,31,14,1.0,0.3111111111111111,0.4745762711864407
9,9,0.9532846715328467,640,0,32,13,1.0,0.28888888888888886,0.4482758620689655
10,ensemble_avg,0.9562043795620438,640,0,30,15,1.0,0.3333333333333333,0.5
11,ensemble_or,0.9576642335766423,640,0,29,16,1.0,0.35555555555555557,0.5245901639344263
12,ensemble_uniq_avg,0.9562043795620438,640,0,30,15,1.0,0.3333333333333333,0.5
13,ensemble_uniq_or,0.9576642335766423,640,0,29,16,1.0,0.35555555555555557,0.5245901639344263
