,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.9386861313868613,629,11,31,14,0.56,0.3111111111111111,0.4
1,1,0.9386861313868613,629,11,31,14,0.56,0.3111111111111111,0.4
2,2,0.9386861313868613,629,11,31,14,0.56,0.3111111111111111,0.4
3,3,0.9401459854014599,630,10,31,14,0.5833333333333334,0.3111111111111111,0.4057971014492754
4,4,0.9401459854014599,630,10,31,14,0.5833333333333334,0.3111111111111111,0.4057971014492754
5,5,0.9401459854014599,630,10,31,14,0.5833333333333334,0.3111111111111111,0.4057971014492754
6,6,0.9401459854014599,630,10,31,14,0.5833333333333334,0.3111111111111111,0.4057971014492754
7,7,0.9401459854014599,630,10,31,14,0.5833333333333334,0.3111111111111111,0.4057971014492754
8,8,0.9401459854014599,630,10,31,14,0.5833333333333334,0.3111111111111111,0.4057971014492754
9,9,0.9430656934306569,632,8,31,14,0.6363636363636364,0.3111111111111111,0.417910447761194
10,ensemble_avg,0.9401459854014599,630,10,31,14,0.5833333333333334,0.3111111111111111,0.4057971014492754
11,ensemble_or,0.9386861313868613,629,11,31,14,0.56,0.3111111111111111,0.4
12,ensemble_uniq_avg,0.9386861313868613,629,11,31,14,0.56,0.3111111111111111,0.4
13,ensemble_uniq_or,0.9386861313868613,629,11,31,14,0.56,0.3111111111111111,0.4
